ID1,ID2,Similarity
1315,21535,1.0
1316,3056,1.0
1316,3205,1.0
1316,4796,1.0
1316,4945,1.0
1316,6685,1.0
1316,8425,1.0
1316,21536,1.0
1317,3057,1.0
1317,3206,0.8416666666666667
1317,4797,1.0
1317,4946,0.8416666666666667
1317,6686,0.8416666666666667
1317,8426,0.8416666666666667
1317,21537,1.0
1318,3058,1.0
1318,3207,0.8583333333333333
1318,4798,1.0
1318,4947,0.8583333333333333
1318,6687,0.8583333333333333
1318,8427,0.8583333333333333
1318,21538,1.0
1319,3059,1.0
1319,3208,0.3333333333333333
1319,4799,1.0
1319,4948,0.3333333333333333
1319,6688,0.3333333333333333
1319,8428,0.3333333333333333
1319,21539,1.0
1320,3060,1.0
1320,3209,0.9333333333333333
1320,4800,1.0
1320,4949,0.9333333333333333
1320,6689,0.9333333333333333
1320,8429,0.9333333333333333
1320,21540,1.0
1321,3061,1.0
1321,4801,1.0
1321,14190,0.375
1321,15930,0.375
1321,17670,0.375
1321,19410,0.375
1321,21541,1.0
1322,1352,0.95
1322,3062,1.0
1322,3092,0.95
1322,4802,1.0
1322,4832,0.95
1322,21542,1.0
1322,21572,0.95
1323,3063,1.0
1323,4803,1.0
1323,21543,1.0
1324,1383,1.0
1324,3064,1.0
1324,3123,1.0
1324,4804,1.0
1324,4863,1.0
1324,6603,1.0
1324,21544,1.0
1325,3065,1.0
1325,4805,1.0
1325,21545,1.0
1326,3066,1.0
1326,4806,1.0
1326,21546,1.0
1327,3067,1.0
1327,4807,1.0
1327,21547,1.0
1328,3068,1.0
1328,4808,1.0
1328,21548,1.0
1329,3069,1.0
1329,4809,1.0
1329,21549,1.0
1330,3070,1.0
1330,4810,1.0
1330,21550,1.0
1331,3071,1.0
1331,4811,1.0
1331,21551,1.0
1332,3072,1.0
1332,4812,1.0
1332,21552,1.0
1333,3073,1.0
1333,4813,1.0
1333,21553,1.0
1334,3074,1.0
1334,4814,1.0
1334,21554,1.0
1335,3075,1.0
1335,4815,1.0
1335,21555,1.0
1336,3076,1.0
1336,4816,1.0
1336,21556,1.0
1337,3077,1.0
1337,4817,1.0
1337,21557,1.0
1338,3078,1.0
1338,4818,1.0
1338,21558,1.0
1339,3079,1.0
1339,4819,1.0
1339,21559,1.0
1340,3080,1.0
1340,4820,1.0
1340,21560,1.0
1341,3081,1.0
1341,4821,1.0
1341,21561,1.0
1342,3082,1.0
1342,4822,1.0
1342,21562,1.0
1343,3083,1.0
1343,4823,1.0
1343,21563,1.0
1344,3084,1.0
1344,4824,1.0
1344,21564,1.0
1345,3085,1.0
1345,4825,1.0
1345,21565,1.0
1346,3086,1.0
1346,4826,1.0
1346,21566,1.0
1347,3087,1.0
1347,4827,1.0
