k,itemset,support
2,80 509 541,0.0131
2,40 839 541,0.0143
2,69 799 541,0.0186
2,954 110 129,0.0224
2,954 110 127,0.0124
2,954 110 675,0.0137
2,16 309 541,0.0139
2,31 369 541,0.0153
2,22 229 541,0.0111
2,25 077 198,0.0104
2,25 077 829,0.0153
2,83 199 399,0.0128
2,93 999 541,0.0187
2,954 110 584,0.0117
2,52 719 541,0.0104
2,52 809 541,0.0142
2,669 541,0.0102
2,250 710 129,0.0122
2,71 988 319,0.0109
2,89 109 541,0.0123
2,69 759 541,0.0102
2,73 169 541,0.015
3,1 717 556 302,0.0192
