ID,sign,category,date,horoscope,horoscope_cleaned
29,aries,general,20200715,"Relations with those you care about continue to be warm and supportive. Friends may want to pitch in and help you with a project, Aries, or you could lend a hand to someone else. Strong bonds with others could be forged at this time, which might lead to firm and lasting friendships in the future. This is also a good day to turn your attention to repairing, redecorating, or refurnishing your home.",relations those care continue warm supportive friends pitch help project aries lend hand else strong bonds which lead firm lasting friendships future also turn attention redecorating refurnishing home
30,aries,general,20200716,"Today might be a bit difficult, Aries, because you aren't likely to be as productive as usual. You won't have much to say, and you'll feel sleepy and somewhat grumpy. In other words, it's the perfect day to go back to bed with that novel. Take a nap - or several naps - and follow your desire to do as little as possible. There will be plenty of time to catch up on work.",bit difficult aries because aren't likely productive usual won't say you'll sleepy somewhat grumpy words perfect back bed novel nap several naps follow desire little possible plenty catch
31,aries,general,20200717,"New communications equipment may make whatever work you do that much easier to do, Aries. You might have some doubts about your ability to use it, but don't worry. You'll be able to deal with it as well as anyone. You'll find that it will open up new doors for you, both with regard to compiling information and staying in contact with old and new friends. Go to it!",communications equipment whatever easier aries doubts ability use worry you'll able deal well anyone you'll open doors both regard information staying contact old friends
32,aries,general,20200718,"You may be in an especially nurturing mood today, Aries. You might reach out to every living thing around you, from plants to pets to friends, children, and romantic partners. There's a danger of being too helpful and supportive, which some could find stifling. Your loved ones like to see you relaxed and happy, so channel some energy into indulging yourself. Go for a massage or other treat. Live a little!",especially nurturing mood aries reach every living thing around plants pets friends children romantic partners there's danger being too helpful supportive which stifling loved ones see relaxed happy channel indulging massage treat live little
33,aries,general,20200719,"You may be feeling a bit reserved today, Aries, especially when it comes to issues involving love and romance. Follow your instincts and know that your hesitation isn't unfounded. Sometimes it's good to slow down and question the road you're on. Just don't doubt yourself to the point that you become too frustrated that you can't take the next big step forward.",feeling bit reserved aries especially comes issues involving romance follow instincts know hesitation isn't unfounded sometimes slow down question road you're doubt point become too frustrated can't next big step forward
34,aries,general,20200720,"New opportunities to advance your professional standing may arise, Aries. The aspects bode well for business and money. Promising new projects may present themselves. Your tendency to serve and nurture others should strengthen your work relationships, so morale on the job takes a tangible upswing at this time. Warmth and affection for friends, children, romantic partners, and even casual acquaintances should increase and enhance relationships.",opportunities advance professional standing arise aries aspects bode well business money promising projects present themselves tendency serve nurture should strengthen relationships morale job takes tangible upswing warmth affection friends children romantic partners even casual acquaintances should increase enhance relationships
35,aries,general,20200721,"Here's a reminder that it's OK to be you. You may feel more centered than usual, which encourages you to stand up for yourself and say the things you must to people who need to hear them. There may have been recent arguments with a partner, but those should subside now, thanks to today's serene feelings. Perhaps you've gained greater insight into the cause of the tension. Share this with the person you've been arguing with.",here's reminder ok centered usual which encourages stand say must who hear recent arguments partner those should subside thanks serene feelings perhaps you've gained greater insight cause tension share person you've arguing
36,aries,general,20200722,"You might surprise a few people with your words and actions, which could seem out of character for you, Aries. Don't be surprised if you don't think or act like your normal self. There is a streak of the oddball inside you that wants to have its day in the spotlight. Let that part of you shine through by wearing your plaid pants with a polka dot shirt and furry orange hat. Wear bright, expressive colors that show off your willingness to stand out in a crowd.",surprise few words actions which seem character aries surprised think act normal self streak oddball inside wants its spotlight let part shine through wearing pants dot shirt hat wear bright expressive colors show off willingness stand crowd
37,aries,general,20200723,"Things should be going your way right now, Aries. Feel confident about yourself and your decisions. Let your inner glow radiate outward and show people that you have a great deal of love to offer. Practice what you preach. You lose respect when you act contrary to the way in which you insist the people around you act. Feel your power from within as opposed to trying to get it from others.",should going right aries confident decisions let inner glow radiate outward show great deal offer practice preach lose respect act contrary which insist around act power within opposed trying
38,aries,general,20200724,"Your brain is likely to be working overtime, Aries. Things were going along just fine until you suddenly ran into an unexpected snag that kept you from where you want to be. It's as if the hamster wheel you've been running on suddenly jammed. Even though you're still working just as hard, the wheel simply won't turn. Perhaps it's time to step off and take a break. Get some perspective.",brain likely working overtime aries were going along fine until suddenly unexpected snag kept where hamster wheel you've running suddenly jammed even though you're still working hard wheel simply won't turn perhaps step off break perspective
39,aries,general,20200725,"Don't be so nosy about others' affairs today, Aries. If you were meant to be included in the conversation, you'd have been invited. Suspicion of other people's actions and motives will only cause them to lose their trust in you. Keep any abrasive and critical thoughts to yourself. Perfection is a hot topic in your mind. Realize that the only person you can control in that department is you.",others' affairs aries were meant included conversation you'd invited suspicion people's actions motives only cause lose their trust keep any abrasive critical thoughts perfection hot topic mind realize only person control department
40,aries,general,20200726,"You might have to do a bit of adjusting today in order to experience a harmonious understanding with the people around you, Aries. Adopt a feistier and more aggressive attitude toward love and romance if you want to receive any attention in that area. Feel free to go for the gold. Sitting back and lying low will most likely get you nowhere. Take the initiative. Be brave and go out on a limb.",bit adjusting order experience harmonious understanding around aries adopt feistier aggressive attitude toward romance receive any attention area free gold sitting back lying low most likely nowhere initiative brave limb
41,aries,general,20200727,"Today you should work to tune into the larger, slower-moving trends in your life, Aries. Consider making some long-term monetary and emotional investments. There is a great deal of prosperity available to you now, but beware of deception on the part of others. Watch out for fast talkers and people who promise everything yet deliver nothing. Have confidence that you can decipher what's real and what isn't.",should tune larger trends aries consider making longterm monetary emotional investments great deal prosperity available beware deception part watch fast talkers who promise everything yet deliver nothing confidence decipher what's real isn't
42,aries,general,20200728,You'll find that your brain is extra sharp today and you have a greater sense of clarity regarding your purpose in life. It could be that your nurturing instinct is high and your general self-esteem depends on how useful you can be to the people around you. It may seem as if you're everyone's parent or watchful older sibling. Give people the advice they need to grow and be wiser.,you'll brain extra sharp greater sense clarity regarding purpose nurturing instinct high general selfesteem depends useful around seem you're everyone's parent watchful older sibling give advice grow wiser
43,aries,general,20200729,"Regardless of how you feel today, Aries, it's important to own up to your mistakes. Keep in mind that you're responsible for your actions. No matter how much you might want to shrink away, it's important to stand up and admit your weaknesses. Take bold action today in which you command control of the situation and hold yourself responsible for the consequences.",regardless aries important own mistakes keep mind you're responsible actions no matter shrink away important stand admit weaknesses bold action which command control situation hold responsible consequences
